GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.authentication.AuthProject.core.util,EncryptionService,19,108,1,1,5,23,1,4,0,4
,com.authentication.AuthProject.core.util,PhoneHashService,7,32,0,0,2,8,0,3,0,3
,com.authentication.AuthProject.core.config,AsyncConfig,0,23,0,0,0,8,0,2,0,2
,com.authentication.AuthProject.core.config,CorsConfig,0,56,0,0,0,10,0,3,0,3
,com.authentication.AuthProject.core.config,SecurityConfig,47,44,0,0,12,11,4,2,4,2
,com.authentication.AuthProject.features.resume.controller,ResumeController,55,0,0,0,13,0,3,0,3,0
,com.authentication.AuthProject.features.ai.prompt,PromptBuilder,118,0,4,0,19,0,5,0,3,0
,com.authentication.AuthProject.core.security,JwtService,0,99,1,3,0,23,1,12,0,11
,com.authentication.AuthProject.core.security,RestAuthenticationEntryPoint,0,24,0,0,0,10,0,1,0,1
,com.authentication.AuthProject.core.security,CustomUserDetailsService,0,39,0,2,0,9,0,3,0,2
,com.authentication.AuthProject.core.security,JwtAuthenticationFilter,0,103,4,10,0,30,4,5,0,2
,com.authentication.AuthProject.features.knowledge.controller,KnowledgeController,24,0,0,0,7,0,3,0,3,0
,com.authentication.AuthProject.features.user.service,UserService,38,295,3,11,9,70,7,15,4,11
,com.authentication.AuthProject.features.user.service,UserProfileCacheService,15,137,1,13,4,39,1,12,0,6
,com.authentication.AuthProject.features.user.service,MemcachedService,0,44,0,2,0,10,0,5,0,4
,com.authentication.AuthProject.features.knowledge.scheduler,KnowledgeScheduler,18,0,0,0,7,0,2,0,2,0
,com.authentication.AuthProject.features.knowledge.service,KnowledgePipelineService,0,172,0,4,0,48,0,4,0,2
,com.authentication.AuthProject.features.ai.service,AIOrchestrator,163,537,29,29,26,128,29,13,4,9
,com.authentication.AuthProject.features.resource.controller,ResourceController,32,0,0,0,7,0,4,0,4,0
,com.authentication.AuthProject.features.ai.client,NvidiaClient,129,50,17,7,26,9,12,3,0,3
,com.authentication.AuthProject.features.auth.controller,AuthController,0,83,0,0,0,20,0,6,0,6
,com.authentication.AuthProject.features.assessment.controller,AssessmentController,79,0,2,0,15,0,6,0,5,0
,com.authentication.AuthProject.features.resource.service,ResourceService,0,83,0,0,0,25,0,5,0,5
,com.authentication.AuthProject.features.auth.service,RateLimitService,2,84,3,5,2,21,3,6,0,5
,com.authentication.AuthProject.features.auth.service,OtpDeliveryService,0,13,0,0,0,4,0,3,0,3
,com.authentication.AuthProject.features.auth.service,AuthService,0,243,0,8,0,65,0,10,0,6
,com.authentication.AuthProject.features.auth.service,OtpService,29,227,3,9,6,54,5,15,2,12
,com.authentication.AuthProject.core.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
,com.authentication.AuthProject.core.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
,com.authentication.AuthProject.core.exception,UnverifiedUserException,0,4,0,0,0,2,0,1,0,1
,com.authentication.AuthProject.core.exception,GlobalExceptionHandler,0,108,0,0,0,33,0,12,0,12
,com.authentication.AuthProject.core.exception,RateLimitExceededException,0,4,0,0,0,2,0,1,0,1
,com.authentication.AuthProject.core.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
,com.authentication.AuthProject.core.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.authentication.AuthProject.features.resume.service,ResumeTextExtractor,72,0,6,0,16,0,7,0,4,0
,com.authentication.AuthProject.features.resume.service,ResumeParsingService,357,0,10,0,33,0,9,0,4,0
,com.authentication.AuthProject.features.knowledge.client,ResourceScraperClient,160,0,0,0,58,0,2,0,2,0
,com.authentication.AuthProject.features.user.controller,UserController,0,53,0,0,0,13,0,4,0,4
